Country Name,"Population, total [SP.POP.TOTL]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]",Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS],Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS],Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],Land area (sq. km) [AG.LND.TOTL.K2],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",Gross value added at basic prices (GVA) (current US$) [NY.GDP.FCST.CD],"Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Inflation, GDP deflator: linked series (annual %) [NY.GDP.DEFL.KD.ZG.AD]",GNI (current US$) [NY.GNP.MKTP.CD],"Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Consumer price index (2010 = 100) [FP.CPI.TOTL],Export value index (2000 = 100) [TX.VAL.MRCH.XD.WD],Import value index (2000 = 100) [TM.VAL.MRCH.XD.WD],Region,Trade (% of GDP) [NE.TRD.GNFS.ZS]
Cabo Verde,549936,50.1942044165139,49.8057955834861,1.12865786215008,136.460545905707,28.4064480347677,66.8951785210979,4.69837344413431,4030,3603.77524058462,4.63290603790788,19.6057641486942,61.3864124770018,1696957053.74475,4.32999992370605,10.6000003814697,21.7999992370605,67.5999984741211,53.1,12.07,237728,63.89,0.314361652431474,1.10750930553813,0.562980597096782,0.562980597096782,1939454972.42505,107810523.886549,110.501606515952,560.769245,346.0488581,WesternAfrica,115.907155590446
Cambodia,16486542,48.8117156405509,51.1882843594491,1.44641184190217,93.3975866757308,31.0991959381173,64.1830348656498,4.7177691962329,176520,1643.12138876475,20.7118706884342,34.2260507178166,38.8482503467439,25063606382.4302,0.109999999403954,34.5299987792969,27.9099998474121,37.560001373291,81.94,0.13,9319219,84.9,0.683881414598111,,3.23537176916393,3.23537176916393,25525556830.0006,3663032999.47048,,1057.968971,1070.397214,South-easternAsia,123.556523768369
Cameroon,25876387,50.0067030223346,49.9932969776654,2.58417898206639,54.7405110955977,42.3621310245096,54.9142190677367,2.72364990775371,472710,1507.44979812212,14.5076635415224,26.0373799192976,51.4954645489065,35902567113.4353,3.08999991416931,43.4900016784668,14.4200000762939,42.0900001525879,73.59,3.32,11351501,76.9,5.5344390062532,2.45280214062733,2.52388100364547,2.52388100364547,38259800549.9129,1024779237.90889,118.648588290011,242.46774,380.8759902,MiddleAfrica,44.8677212238389
Canada,37593384,49.6204836658101,50.3795163341899,1.41501469953534,4.19307418697487,15.8458997418597,66.506203368219,17.6478968899213,8965590,46326.6726375572,,,,1622884211361.24,4.3899998664856,1.50999999046326,19.25,79.2399978637695,61.86,5.66,20743970,79.04,1.89503794904271,1.94926902411596,1.67257919414799,1.67257919414799,1719248124234.35,45087716089.8033,116.75729822553,161.54927,189.4216486,NorthernAmerica,65.4288375184792
Cayman Islands,64948,,,1.20199712360386,270.616666666667,,,,240,91392.6425875166,,,,,,,,,,,,,,,3.52911976102538,3.52911976102538,4493181807.27229,984919518.271685,,297.2972973,172.9323308,Caribbean,
Central African Republic,4745179,49.5655274542857,50.4344725457143,1.67466162763351,7.61690423448586,43.9200157633475,53.2651940862158,2.81479015043671,622980,467.908021751942,31.4907374634526,20.5211544373415,41.1669599063062,2068856978.16159,0.860000014305115,69.8499984741211,6.26000022888184,23.8899993896484,68.91,4.04,1910933,72.48,8.34947014490378,2.68537355266785,2.38134831702081,2.38134831702081,2386023467.98619,25601157.4181,151.785085312376,95.49988862,526.7457631,MiddleAfrica,52.2015999980344
Chad,15946882,49.9189872979558,50.0810127020442,2.98613014725798,12.6642963786531,46.8209447417789,50.687413635122,2.4916416230991,1259200,709.54004317463,42.5944491240908,14.2700509702467,40.467352937889,11013051982.2977,0.360000014305115,75.0599975585938,1.87999999523163,23.0599994659424,69.24,1.91,5986315,70.72,21.1228633892769,-0.971939175419353,2.85603411987745,2.85603411987745,11140998595.3498,566638950.8536,117.698204738763,1429.25303,652.0330035,MiddleAfrica,74.5705255558558
Channel Islands,172264,49.4903171875726,50.5096828124274,1.03163477664924,870.020202020202,15.0674275364422,67.3311699243581,17.6014025391997,198,,,,,,4.46999979019165,2.61999988555908,24.6399993896484,72.7300033569336,54.53,7.11,85883,72.68,,,,,,,,,,NorthernEurope,
Chile,18952035,49.2916670953805,50.7083329046195,1.18293256569455,25.4891988508901,19.4942728586762,68.624187013555,11.8815401277688,743532,14741.7144039954,3.61087939063254,29.108912514608,58.7763897455667,255627053006.598,4.17999982833862,8.97999954223633,22.25,68.7799987792969,57.81,7.29,9514561,68.9,2.30010999230253,2.55754475703323,1.94987728916749,1.94987728916749,269285900902.038,12586607704.3638,131.913566974844,363.8094918,377.1590298,SouthAmerica,56.8744630049789
China,1397715000,51.3065020270854,48.6934979729146,0.357291063115687,148.303348639245,17.8045083433876,70.7232986329292,11.4721930236832,9424702.9,10216.6303341031,7.14369124773749,38.5874034176057,54.2689053346568,,2.10999989509583,25.3299999237061,27.4200000762939,47.25,65.1,4.6,783981188,75.88,1.2550546774119,2.89923416358227,1.28745207725503,1.28745207725503,14246120664698,187169822364.755,125.083154382075,1002.980301,923.6287685,EasternAsia,35.8374138163305
